Day;Date;Weigth;Steps;Walk (min);Swimming (min);other sports (min);Spent kcal;GPS country
W;20/05/2015;68,4;6620;75;0;6;380;33
Th;21/05/2015;68,3;8111;70;0;11;452;33
F;22/05/2015;68,7;9283;85;40;0;686;33
Sa;23/05/2015;68,6;5995;53;0;0;237;33
Su;24/05/2015;68,4;1419;12;0;0;71;33
M;25/05/2015;68,4;12412;110;0;1;556;33
Tu;26/05/2015;68,5;8693;76;40;3;677;33
W;27/05/2015;68,3;9097;69;0;6;333;33
Th;28/05/2015;68,3;8342;72;40;1;658;33
F;29/05/2015;68,3;9327;95;0;0;429;33
Sa;30/05/2015;68,9;6693;57;0;0;285;33
Su;31/05/2015;69;1417;12;0;0;71;33
M;01/06/2015;69,1;10381;92;0;1;465;33
Tu;02/06/2015;68,8;8715;78;40;5;695;33
W;03/06/2015;68,7;6178;70;0;6;354;33
Th;04/06/2015;68,8;8342;72;0;11;465;33
F;05/06/2015;68,7;10048;91;40;0;722;33
Sa;06/06/2015;68,6;6593;55;0;0;270;33
Su;07/06/2015;69;1417;12;0;0;71;33
M;08/06/2015;68,8;10381;92;0;1;465;33
Tu;09/06/2015;69,1;8715;78;40;5;695;33
W;10/06/2015;69,2;10289;93;0;1;449;33
Th;11/06/2015;68,7;8275;63;40;10;732;33
F;12/06/2015;68,6;7807;70;0;2;359;33
Sa;13/06/2015;68,7;1883;18;0;0;79;33
Su;14/06/2015;68,7;15;5;0;0;30;33
M;15/06/2015;68,7;7684;67;0;0;327;33
Tu;16/06/2015;68,9;12702;116;0;2;559;33
W;17/06/2015;68,9;8896;83;0;1;382;33
Th;18/06/2015;69,3;9038;83;0;0;397;33
F;19/06/2015;69,1;7773;69;40;5;663;33
Sa;20/06/2015;69,1;68;8;0;0;37;33
Su;21/06/2015;69,4;960;9;0;0;42;33
M;22/06/2015;69,6;8814;79;0;0;383;33
Tu;23/06/2015;69,6;7593;70;40;1;629;33
W;24/06/2015;69,2;7395;68;45;0;650;33
Th;25/06/2015;69,3;12400;111;0;0;528;33
F;26/06/2015;69,3;11301;100;40;1;794;33
Sa;27/06/2015;69,3;5055;49;0;0;214;33
Su;28/06/2015;69,3;9120;91;0;0;375;33
M;29/06/2015;69,3;11211;109;0;0;456;33
Tu;30/06/2015;69,3;11184;106;0;0;472;33
W;01/07/2015;69,3;12986;122;0;3;560;33
Th;02/07/2015;69,3;8134;74;0;3;361;33
F;03/07/2015;69,3;7695;67;35;5;619;33
Sa;04/07/2015;68,8;850;9;0;0;40;33
Su;05/07/2015;68,8;53;10;0;0;45;33
M;06/07/2015;69,9;9789;84;1;1;437;33
Tu;07/07/2015;69,5;9148;79;45;2;733;33
W;08/07/2015;69,3;7278;65;0;0;309;33
Th;09/07/2015;69,8;8650;75;0;0;373;33
F;10/07/2015;70,3;8652;74;45;2;720;33
Sa;11/07/2015;69,8;6809;70;0;0;296;353
Su;12/07/2015;69,8;13575;137;0;0;576;353
M;13/07/2015;69,8;17865;177;0;0;731;353
Tu;14/07/2015;69,8;6883;69;0;0;296;353
W;15/07/2015;69,8;11191;117;0;0;468;353
Th;16/07/2015;69,8;10969;104;0;0;448;353
F;17/07/2015;69,8;11511;105;0;0;477;353
Sa;18/07/2015;69,8;6535;65;0;0;268;353
Su;19/07/2015;69,6;916;8;0;0;45;33
M;20/07/2015;69,6;1677;16;0;0;79;33
Tu;21/07/2015;69,8;4627;44;0;0;202;33
W;22/07/2015;69,7;4391;44;0;0;179;33
Th;23/07/2015;69,7;1196;12;0;0;50;33
F;24/07/2015;69,7;4039;38;0;0;180;33
Sa;25/07/2015;69,1;584;6;0;0;26;33
Su;26/07/2015;69,4;32;9;0;0;41;33
M;27/07/2015;69,3;425;4;0;0;27;33
Tu;28/07/2015;69,2;26;15;0;0;75;33
W;29/07/2015;69,6;371;3;0;0;21;33
Th;30/07/2015;69,4;33;9;0;0;42;33
F;31/07/2015;69,2;5174;44;0;0;237;33
Sa;01/08/2015;69,1;9582;99;0;0;390;33
Su;02/08/2015;69,2;3384;137;0;1;592;34
M;03/08/2015;69,1;16509;145;0;8;722;34
Tu;04/08/2015;69;8425;57;20;93;1302;34
W;05/08/2015;68,6;1616;13;10;42;661;34
Th;06/08/2015;68,5;13024;92;20;73;1073;34
F;07/08/2015;68,3;5047;47;10;43;658;34
Sa;08/08/2015;68,3;3371;30;20;51;827;34
Su;09/08/2015;68,3;8804;52;20;56;904;34
M;10/08/2015;68,1;4192;38;15;27;574;34
Tu;11/08/2015;68,1;4117;35;3;3;194;34
W;12/08/2015;68,2;7150;61;29;0;504;34
Th;13/08/2015;68,1;11873;110;0;8;547;34
F;14/08/2015;68,1;68;25;0;0;90;33
Sa;15/08/2015;68,1;2103;21;0;0;85;33
Su;16/08/2015;68,5;3190;28;0;0;134;33
M;17/08/2015;68,9;1318;12;0;0;66;33
Tu;18/08/2015;69,1;533;5;0;0;27;33
W;19/08/2015;69,6;7407;70;0;1;322;33
Th;20/08/2015;69,6;6460;52;0;1;280;33
F;21/08/2015;69,9;3142;33;30;0;351;33
Sa;22/08/2015;69,9;3649;36;0;2;172;33
Su;23/08/2015;70,6;1771;18;0;0;80;33
M;24/08/2015;70,6;9704;88;0;1;427;33
Tu;25/08/2015;69,9;11196;101;0;0;476;33
W;26/08/2015;70,4;11308;105;0;0;475;33
Th;27/08/2015;70,4;8396;74;0;0;372;33
F;28/08/2015;70,7;8710;78;0;0;385;33
Sa;29/08/2015;70,5;993;9;0;0;50;33
Su;30/08/2015;69,9;7;9;0;0;42;33
M;31/08/2015;69,4;8843;78;0;0;379;33
Tu;01/09/2015;69,5;8446;75;0;0;365;33
W;02/09/2015;69,8;6793;61;0;0;305;33
Th;03/09/2015;69,9;6894;61;0;0;296;33
F;04/09/2015;69,9;10518;99;0;1;464;33
Sa;05/09/2015;69,7;109;1;0;0;4;33
Su;06/09/2015;69,2;1652;16;0;0;73;33
M;07/09/2015;69,1;7899;72;0;0;336;33
Tu;08/09/2015;69;10705;97;0;0;455;33
W;09/09/2015;69,6;6379;60;0;0;273;33
Th;10/09/2015;69,6;10174;92;35;0;697;33
F;11/09/2015;69,2;8993;85;0;0;381;33
Sa;12/09/2015;69,2;523;5;0;0;24;33
Su;13/09/2015;69,6;58;12;0;1;85;33
M;14/09/2015;69,1;8031;71;0;0;350;33
Tu;15/09/2015;69,3;7412;67;0;0;318;33
W;16/09/2015;69,8;7332;66;0;0;311;33
Th;17/09/2015;69,8;6999;64;0;0;304;33
F;18/09/2015;69,7;7826;75;0;0;332;33
Sa;19/09/2015;69,5;11;4;0;0;17;33
Su;20/09/2015;69,3;1051;9;0;0;54;33
M;21/09/2015;69,3;8250;74;0;0;354;33
Tu;22/09/2015;68,9;7185;63;0;0;301;33
W;23/09/2015;69,1;7604;69;0;1;332;33
Th;24/09/2015;69,2;7453;69;0;1;315;33
F;25/09/2015;69,4;8742;79;0;0;374;33
Sa;26/09/2015;69,8;69;9;0;0;51;33
Su;27/09/2015;69,4;14;8;0;0;38;33
M;28/09/2015;69,1;11633;106;0;0;520;33
Tu;29/09/2015;69,1;8690;77;0;0;371;33
W;30/09/2015;69,3;5745;52;0;0;247;33
Th;01/10/2015;69,9;15373;143;0;1;652;33
F;02/10/2015;69,4;7229;67;0;0;309;33
Sa;03/10/2015;69,1;41;9;0;0;48;33
Su;04/10/2015;69,3;1064;9;0;0;53;33
M;05/10/2015;69,6;7337;64;0;0;333;33
Tu;06/10/2015;69,6;15253;132;0;1;659;33
W;07/10/2015;69,9;7894;73;0;0;346;33
Th;08/10/2015;69,4;11761;111;0;1;502;33
F;09/10/2015;69,4;7377;67;0;0;311;33
Sa;10/10/2015;69;253;12;0;0;57;33
Su;11/10/2015;69,4;885;9;0;0;38;33
M;12/10/2015;69,3;7748;68;0;0;326;33
Tu;13/10/2015;69,2;7296;69;0;0;318;33
W;14/10/2015;69,1;7039;63;0;0;306;33
Th;15/10/2015;69,7;10741;99;0;0;454;33
F;16/10/2015;69,7;7474;69;0;0;313;33
Sa;17/10/2015;69,5;34;9;0;0;43;33
Su;18/10/2015;69,5;7170;64;0;0;300;32
M;19/10/2015;69,5;8716;77;0;0;369;33
Tu;20/10/2015;69,4;10788;96;0;0;492;33
W;21/10/2015;69,8;8263;73;0;0;358;33
Th;22/10/2015;70,5;15869;150;0;0;663;33
F;23/10/2015;70;11552;111;0;2;516;33
Sa;24/10/2015;69,9;961;9;0;0;40;33
Su;25/10/2015;70;923;9;0;0;42;33
M;26/10/2015;69,8;9584;87;0;0;406;33
Tu;27/10/2015;70,2;9684;87;0;0;413;33
W;28/10/2015;70,5;9560;86;0;0;413;33
Th;29/10/2015;70,8;13638;126;0;1;584;33
F;30/10/2015;70,5;8902;79;0;0;371;33
Sa;31/10/2015;70,3;41;4;0;0;28;33
Su;01/11/2015;70,3;82;8;0;0;35;33
M;02/11/2015;70,3;8084;74;0;0;348;33
Tu;03/11/2015;69,8;9058;82;0;0;381;33
W;04/11/2015;69,8;10320;96;0;0;446;33
Th;05/11/2015;69,8;16367;161;0;1;684;33
F;06/11/2015;69,8;2290;23;0;0;95;33
Sa;07/11/2015;69,9;12607;130;0;0;535;82
Su;08/11/2015;70;21731;225;0;0;926;82
M;09/11/2015;69,9;20224;201;0;0;834;82
Tu;10/11/2015;70;6583;69;0;0;267;81
W;11/11/2015;69,6;17569;181;0;0;706;81
Th;12/11/2015;70,1;19825;204;0;0;822;81
F;13/11/2015;70,5;12439;120;0;0;507;81
Sa;14/11/2015;70,8;9456;14;0;0;387;81
Su;15/11/2015;70,2;24452;245;0;0;984;81
M;16/11/2015;70;4049;43;0;0;165;974
Tu;17/11/2015;69,8;9515;86;0;0;397;33
W;18/11/2015;69;9964;91;0;0;423;33
Th;19/11/2015;68,8;12254;117;0;1;525;33
F;20/11/2015;69;4763;44;0;0;207;33
Sa;21/11/2015;69,6;7508;72;0;0;310;33
Su;22/11/2015;69,4;11457;108;0;0;481;33
M;23/11/2015;69,2;8383;74;0;0;365;33
Tu;24/11/2015;69,4;4021;37;0;0;176;33
W;25/11/2015;69,6;8910;82;0;0;384;33
Th;26/11/2015;69,1;10675;101;0;0;477;33
F;27/11/2015;68,5;6783;63;0;0;278;33
Sa;28/11/2015;68,7;10722;105;0;0;439;49
Su;29/11/2015;69;11187;108;0;0;451;49
M;30/11/2015;69,3;6271;62;0;0;265;49
